-1,0,-3.3,93.1,0.01,170.5
-1,0,-3.3,93.3,0,169
-1,0,-3.3,93.1,0,164.6
-1,0,-3.3,93,0,160.7
-1,0,-3.4,92.9,0,147.2
-1,0,-3.4,92.9,0,150.5
-1,0,-3.4,92.9,0,148.1
-1,0,-3.5,93,0,166.4
-1,0,-3.5,93,0,163.4
-1,0,-3.5,93.1,0,161.6
-1,0,-3.4,92.9,0.02,153.4
-1,0,-3.4,92.6,0,162.3
-1,0,-3.4,92.4,0,162.2
-1,0,-3.3,92.3,0,161.5
-1,0,-3.4,92.2,0,171.6
-1,0,-3.4,92.3,0.01,172.6
-1,0,-3.4,92.4,0.01,170.6
-1,0,-3.4,92.8,0,169
-1,0,-3.4,92.6,0.01,162.3
-1,0,-3.4,92.2,0,171.2
-1,0,-3.4,92.1,0,180.4
-1,0,-3.4,92,0.01,179.5
-1,0,-3.3,91.9,0,191.4
-1,0,-3.3,91.8,0,178.8
-1,0,-3.3,91.7,0.01,178.3
-1,0,-3.4,91.8,0,181.1
-1,0,-3.4,91.7,0,171.2
-1,0,-3.4,91.5,0.01,172.2
-1,0,-3.4,91.5,0,171.3
-1,0,-3.4,91.3,0.01,183.7
-1,0,-3.4,91.2,0.01,169
-1,0,-3.5,91.9,0,168.8
-1,0,-3.6,92.3,0.01,171.1
-1,0,-3.6,92.1,0,174.6
-1,0,-3.5,91.9,0.01,176
-1,0,-3.5,91.7,0.01,171.9
-1,0,-3.5,91.7,0.01,169.8
-1,0,-3.5,91.6,0.01,170.2
-1,0,-3.5,91.5,0.01,166.4
-1,0,-3.6,91.9,0.01,153.6
-1,0,-3.7,92.2,0.01,163.5
-1,0,-3.7,92.4,0,177.3
-1,0,-3.7,92.2,0,174.9
-1,0,-3.6,92,0,176.6
-1,0,-3.6,91.9,0,180.5
-1,0,-3.6,92.2,0,180.2
-1,0,-3.6,92.3,0.01,181.1
-1,0,-3.6,92.1,0.01,178.7
-1,0,-3.6,91.8,0,166.3
-1,0,-3.6,92,0,162
-1,0,-3.6,92.1,0,157.6
-1,0,-3.6,91.8,0,183.5
-1,0,-3.6,91.7,0.01,171
-1,0,-3.7,92.1,0,180.3
-1,0,-3.8,92.4,0,168.2
-1,0,-3.8,92.4,0,167.9
-1,0,-3.8,92.6,0,166.9
-1,0,-3.8,92.7,0.01,160.9
-1,0,-3.8,92.8,0,150.7
-1,0,-3.9,92.7,0,162.9
-1,0,-3.9,92.8,0,162.3
-1,0,-3.9,93,0,163.9
-1,0,-3.9,93.1,0.02,155.5
-1,0,-3.9,93.2,0,159.9
-1,0,-3.9,93.3,0,153.8
-1,0,-4,93.5,0,154.5
-1,0,-3.9,93.6,0,163.9
-1,0,-3.9,93.4,0.01,167.8
-1,0,-4,93.5,0,168.6
-1,0,-4,93.7,0,165.4
-1,0,-3.9,93.6,0.01,168
-1,0,-4,93.7,0,160.8
-1,0,-4,93.7,0,165.1
-1,0,-4,93.7,0,176.5
-1,0,-4,93.7,0,172.6
-1,0,-4,93.5,0.01,165
-1,0,-4.1,93.4,0,186.3
-1,0,-4.1,93.4,0,185.8
-1,0,-4.1,93.3,0,175.5
-1,0,-4.1,93.4,0,175.1
-1,0,-4,93.3,0.01,163.7
-1,0,-4,93.1,0,152.4
-1,0,-4.1,93.1,0,166.9
-1,0,-4,93.1,0,183.3
-1,0,-4.1,93.1,0.01,169.9
-1,0,-4,93.2,0,162.6
-1,0,-4.1,93.4,0,168
-1,0,-4.1,93.6,0,178
-1,0,-4.2,93.6,0.01,177.8
-1,0,-4.2,93.6,0,191.1
-1,0,-4.2,93.6,0,191
-1,0,-4.2,93.6,0,189.8
-1,1,-4.2,93.6,0,202.1
0,1,-4.2,93.4,0,190.8
0,2,-4.2,93.4,0.01,189.9
1,3,-4.1,93.6,0,178
2,4,-4.1,93.5,0,178.7
4,6,-4.1,93.4,0,177.1
7,9,-4.1,93.4,0.01,166.5
10,12,-4,93.2,0,156.7
14,16,-4,92.9,0,149.9
17,19,-4,92.7,0.01,190.8
21,23,-4,92.5,0,200.8
26,27,-3.9,92.4,0,198.8
30,31,-3.9,92.5,0,176.3
34,35,-3.9,92.4,0,185.4
40,41,-3.9,92.5,0.01,192.8
47,48,-3.9,92.4,0,182.7
52,53,-3.8,92.2,0,183.1
55,55,-3.8,91.9,0,183.4
59,60,-3.8,91.7,0.01,168
64,65,-3.7,91.8,0,177.8
67,68,-3.7,91.8,0,187.2
71,72,-3.7,91.8,0,184.3
77,76,-3.6,92,0,176
84,82,-3.6,92.1,0,165.5
88,85,-3.6,92.1,0,167.1
94,89,-3.5,91.9,0.01,158.2
104,94,-3.5,91.7,0,173.4
112,99,-3.4,91.6,0,172.5
126,108,-3.4,91.4,0,174
133,112,-3.3,91.3,0,172.3
134,113,-3.3,91.4,0,175.3
143,120,-3.2,91.5,0,172.6
146,124,-3.2,91.4,0,175.4
149,126,-3.1,91.5,0,166.6
159,133,-3.1,91.3,0,171.2
164,137,-3,91.2,0,161.5
173,141,-3,91.5,0,163.6
177,140,-3,91.6,0,173.9
190,147,-2.9,91.7,0,176.9
200,153,-2.8,91.6,0,152.2
204,153,-2.7,91.5,0,159.9
214,150,-2.6,91.3,0,146.2
219,149,-2.6,91.1,0.01,171.2
231,154,-2.6,90.8,0,169.3
225,152,-2.5,90.8,0,181.5
226,153,-2.4,90.5,0,180
232,156,-2.4,90.4,0,187.2
226,155,-2.3,90.2,0.01,174
229,158,-2.3,90.2,0,175.1
225,158,-2.3,90.3,0,143.4
233,165,-2.2,90.3,0.01,152.6
255,170,-2,89.7,0,179.2
243,173,-1.9,89.5,0,158.4
240,177,-1.9,89.7,0,192.1
247,175,-1.9,90.2,0.01,194.4
269,177,-1.8,90.2,0,182
270,170,-1.8,90.2,0,177.5
277,175,-1.7,90.2,0.01,171.7
260,176,-1.7,90.1,0,171
255,169,-1.7,90.2,0,194.2
245,173,-1.6,90.1,0,161.7
247,174,-1.6,90.1,0,160.5
249,179,-1.6,90.2,0,170.3
268,189,-1.6,90.4,0.01,165.8
274,197,-1.5,90.5,0,174.8
274,194,-1.4,90.3,0.01,178.3
263,193,-1.4,90.2,0,177.7
266,189,-1.4,90.2,0.01,175.4
268,186,-1.3,90.3,0,176.7
261,188,-1.3,90.2,0,170.4
255,187,-1.2,90.2,0,159.7
231,172,-1.2,90.1,0,159.4
225,169,-1.2,90,0,157.9
227,174,-1.2,89.9,0,159.9
226,164,-1.2,90.1,0.01,167.9
217,160,-1.2,89.9,0.01,153.5
216,157,-1.1,89.9,0.01,145.5
215,155,-1.1,89.9,0.01,146
215,150,-1.1,90.1,0.01,155.5
207,147,-1.1,90.2,0,155.9
204,142,-1.1,90,0.01,159.8
187,138,-1.1,90.1,0,161.2
187,133,-1.1,90.1,0.01,161.5
178,127,-1.1,90.1,0,163.2
169,128,-1,89.9,0,150.8
161,126,-1,89.9,0,162.7
158,128,-1,89.8,0,171.1
163,128,-1,89.9,0.01,158.5
153,119,-1,89.7,0.01,161.9
155,119,-0.9,89.6,0,173.6
150,114,-0.9,89.7,0,168.2
146,111,-0.9,89.8,0.01,142.1
139,110,-1,89.9,0,163.6
130,98,-1,89.8,0,166.9
126,92,-1,89.7,0.02,157.2
122,89,-0.9,89.6,0,180.1
118,87,-1,89.8,0,169.7
