month,minute,Glob irrad,Def_irrad,Temp,RH,Rain Fall,WD,WS
4,2310,0,0,4.1,75.3,0.01,183.8,2.5
4,2315,0,0,4.2,75.1,0.01,198.3,2.6
4,2320,0,0,4.1,75.2,0.02,214.9,2.6
4,2325,0,0,4.1,75.2,0.01,200.6,2.7
4,2330,0,0,4,75.6,0.03,190.2,2.6
4,2335,0,0,3.9,75.7,0.02,203.5,2.6
4,2340,0,0,3.9,75.6,0.03,197.3,2.6
4,2345,0,0,3.9,75.5,0.02,176.5,2.6
4,2350,0,0,3.9,75.6,0.03,179.1,2.6
4,2355,0,0,3.8,75.8,0.02,200.1,2.7
4,2400,0,0,3.8,76.2,0.04,233.2,2.6
5,5,0,0,8.2,81.7,0.02,200.7,2
5,10,0,0,8.2,81.7,0.01,211.5,2.1
5,15,0,0,8.1,81.7,0.02,219.5,2.1
5,20,0,0,8.1,81.7,0.02,220.9,2.1
5,25,0,0,7.8,82.5,0.01,204.5,2.1
5,30,0,0,7.9,82.6,0.02,222.7,2.1
5,35,0,0,7.7,83,0.02,216.8,2.1
5,40,0,0,7.7,83,0.02,221.1,2.1
5,45,0,0,7.7,83.4,0,213.6,2.1
5,50,0,0,7.5,83.4,0.02,210,2.1
5,55,0,0,7.6,83.1,0.01,199.8,2.1
5,100,0,0,7.5,83.3,0.01,210,2.2
5,105,0,0,7.4,83.5,0,206.5,2.2
5,110,0,0,7.4,83.4,0.02,193.2,2.1
5,115,0,0,7.4,83.5,0.01,195,2.2
5,120,0,0,7.4,83.6,0,209.2,2.2
5,125,0,0,7.4,83.3,0.01,205.7,2.1
5,130,0,0,7.3,83.5,0.01,199.1,2.1
5,135,0,0,7.2,83.8,0,198.9,2.1
5,140,0,0,7.1,84.1,0,191.5,2.2
5,145,0,0,7.1,84.2,0.01,193.3,2.1
5,150,0,0,7.1,84.2,0.01,202.4,2.2
5,155,0,0,7,84.1,0,198,2.2
5,200,0,0,7,83.9,0,193.5,2.3
5,205,0,0,7,84,0.01,205.2,2.2
5,210,0,0,7,84.1,0,195,2.2
5,215,0,0,6.9,84.2,0,196.2,2.1
5,220,0,0,6.9,84.2,0,210.7,2.1
5,225,0,0,6.9,84.2,0.01,198.5,2.2
5,230,0,0,6.8,84.4,0,193.3,2.2
5,235,0,0,6.8,84.1,0,192.4,2.3
5,240,0,0,6.8,83.9,0,193.2,2.3
5,245,0,0,6.8,83.9,0.01,201.7,2.3
5,250,0,0,6.9,83.3,0.01,193.2,2.4
5,255,0,0,6.9,83,0.01,211.6,2.4
5,300,0,0,6.8,83.4,0.02,204.6,2.4
5,305,0,0,6.8,83.4,0.04,200.8,2.4
5,310,0,0,6.8,83.4,0.01,200.9,2.3
5,315,0,0,6.8,83.3,0.01,192.2,2.3
5,320,0,0,6.8,83.3,0.01,177.8,2.4
5,325,0,0,6.8,83.2,0,172.8,2.4
5,330,0,0,6.8,83.3,0.01,171.3,2.3
5,335,0,0,6.8,83.2,0.01,206.4,2.2
5,340,0,0,6.6,83.7,0.02,195.2,2.3
